Ticker,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
JPM,JPMorgan Chase & Co.,Financials,Banks,"New York, New York",6/30/1975,19617
JNPR,Juniper Networks,Information Technology,Networking Equipment,"Sunnyvale, California",,1043604
KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",5/24/2013,54480
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067
KEY,KeyCorp,Financials,Banks,"Cleveland, Ohio",3/1/1994,91576
GMCR,Keurig Green Mountain,Consumer Staples,Packaged Foods & Meats,"Waterbury, Vermont",,909954
KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",,55785
KIM,Kimco Realty,Financials,REITs,"New Hyde Park, New York",,879101
KMI,Kinder Morgan,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",5/24/2012,1506307
KLAC,KLA-Tencor Corp.,Information Technology,Semiconductor Equipment,"Milpitas, California",,319201
KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,885639
KRFT,Kraft Foods Group,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/2012,1545158
KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",,56873
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/1983,701985
LLL,L-3 Communications Holdings,Industrials,Industrial Conglomerates,"New York, New York",,1056239
LH,Laboratory Corp. of America Holding,Health Care,Health Care Facilities,"Burlington, North Carolina",,920148
LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",,707549
LM,Legg Mason,Financials,Diversified Financial Services,"Baltimore, Maryland",,704051
LEG,Leggett & Platt,Industrials,Industrial Conglomerates,"Carthage, Missouri",,58492
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",,920760
LVLT,Level 3 Communications,Telecommunications Services,Alternative Carriers,"Broomfield, Colorado",11/5/2014,794323
LUK,Leucadia National Corp.,Financials,Multi-Sector Holdings,"New York, New York",,96223
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,59478
LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,59558
LLTC,Linear Technology Corp.,Information Technology,Semiconductors,"Milpitas, California",,791907
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,936468
L,Loews Corp.,Financials,Multi-Sector Holdings,"New York, New York",,60086
LO,Lorillard Inc.,Consumer Staples,Tobacco,"Greensboro, North Carolina",,1424847
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,60667
LYB,LyondellBasell,Materials,Diversified Chemicals,"Rotterdam, Netherlands",9/5/2012,1489393
MTB,M&T Bank Corp.,Financials,Banks,"Buffalo, New York",,36270
MAC,Macerich,Financials,Retail REITs,"Santa Monica, California",5/9/2013,912242
M,Macy's Inc.,Consumer Discretionary,Department Stores,"Cincinnati, Ohio",,794367
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",,66740
MNK,Mallinckrodt plc,Health Care,Pharmaceuticals,"Dublin, Ireland",8/19/2014,1567892
MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,101778
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing & Transportation,"Findlay, Ohio",,1510295
MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1048286
MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",8/31/1987,62709
MAS,Masco Corp.,Industrials,Building Products,"Taylor, Michigan",6/30/1981,62996
MA,Mastercard Inc.,Information Technology,Internet Software & Services,"Harrison, New York",,1141391
MAT,Mattel Inc.,Consumer Discretionary,Leisure Products,"El Segundo, California",3/31/1982,63276
MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Sparks, Maryland",,63754
MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Oak Brook, Illinois",6/30/1970,63908
MHFI,McGraw Hill Financial,Financials,Diversified Financial Services,"New York, New York",,64040
MCK,McKesson Corp.,Health Care,Health Care Distributors & Services,"San Francisco, California",,927653
MJN,Mead Johnson,Consumer Staples,Packaged Foods & Meats,"Glenview, Illinois",,1452575
MWV,MeadWestvaco Corporation,Materials,Paper Packaging,"Richmond, Virginia",,1159297
MDT,Medtronic Inc.,Health Care,Health Care Equipment & Services,"Fridley, Minnesota",10/31/1986,64670
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Whitehouse Station, New Jersey",,310158
MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1099219
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",,827054
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,723125
MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",6/1/1994,789019
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Amsterdam, New York",,851968
TAP,Molson Coors Brewing Company,Consumer Staples,Brewers,"Denver, Colorado",6/30/1976,24545
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Northfield, Illinois",10/2/2012,1103982
MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,"Creve Coeur, Missouri",,1110783
MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,865752
MCO,Moody's Corp,Financials,Diversified Financial Services,"New York, New York",,1059556
MS,Morgan Stanley,Financials,Diversified Financial Services,"New York, New York",,895421
MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Plymouth, Minnesota",,1285785
MSI,Motorola Solutions Inc.,Information Technology,Telecommunications Equipment,"Schaumburg, Illinois",,68505
MUR,Murphy Oil,Energy,Integrated Oil & Gas,"El Dorado, Arkansas",,717423
MYL,Mylan Inc.,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",,69499
NBR,Nabors Industries Ltd.,Energy,Oil & Gas Drilling,"Hamilton, Bermuda",,1163739
NDAQ,NASDAQ OMX Group,Financials,Diversified Financial Services,"New York, New York",,1120193
NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,1021860
NAVI,Navient Corp,Financials,Consumer Finance,"Newark, Delaware",,1084750
NTAP,NetApp,Information Technology,Internet Software & Services,"Sunnyvale, California",,1002047
NFLX,Netflix Inc.,Information Technology,Internet Software & Services,"Los Gatos, California",,1065280
NWL,Newell Rubbermaid Co.,Consumer Discretionary,Housewares & Specialties,"Sandy Springs, Georgia",4/30/1989,814453
NFX,Newfield Exploration Co,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,912750
NEM,Newmont Mining Corp. (Hldg. Co.),Materials,Gold,"Denver, Colorado",6/30/1969,1164727
NWSA,News Corporation,Consumer Discretionary,Publishing,"New York, New York",,1564708
NEE,NextEra Energy,Utilities,Multi-Utilities & Unregulated Power,"Juno Beach, Florida",6/30/1976,753308
NLSN,Nielsen Holdings,Industrials,Research & Consulting Services,"New York, New York",7/8/2013,1492633
NKE,NIKE Inc.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988,320187
NI,NiSource Inc.,Utilities,Multi-Utilities & Unregulated Power,"Merrillville, Indiana",,1111711
NE,Noble Corp,Energy,Oil & Gas Drilling,"Geneva, Switzerland",,1458891
NBL,Noble Energy Inc,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,72207
JWN,Nordstrom,Consumer Discretionary,Department Stores,"Seattle, Washington",8/31/1986,72333
NSC,Norfolk Southern Corp.,Industrials,Railroads,"Norfolk, Virginia",,702165
NTRS,Northern Trust Corp.,Financials,Diversified Financial Services,"Chicago, Illinois",,73124
NOC,Northrop Grumman Corp.,Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/1985,1133421
NU,Northeast Utilities,Utilities,Multi-Utilities & Unregulated Power,"Berlin, Connecticut",,72741
NRG,NRG Energy,Utilities,Multi-Utilities & Unregulated Power,"Princeton, New Jersey",2010-01-28[6],1013871
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",4/30/1985,73309
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",,1045810
KORS,Michael Kors,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1530721
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",,898173
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Los Angeles, California",12/31/1982,797468
OMC,Omnicom Group,Consumer Discretionary,Advertising,"New York, New York",,29989
OKE,ONEOK,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",,1039684
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",8/31/1989,1341439
OI,Owens-Illinois Inc,Materials,Metal & Glass Containers,"Perrysburg, Ohio",,812074
PCG,P G & E Corp.,Utilities,Multi-Utilities & Unregulated Power,"San Francisco, California",,1004980
PCAR,PACCAR Inc.,Industrials,Construction & Farm Machinery & Heavy Trucks,"Bellevue, Washington",12/31/1980,75362
PLL,Pall Corp.,Industrials,Industrial Conglomerates,"Port Washington, New York",12/31/1987,75829
PH,Parker-Hannifin,Industrials,Industrial Conglomerates,"Cleveland, Ohio",11/30/1985,76334
PDCO,Patterson Companies,Health Care,Health Care Supplies,"St. Paul, Minnesota",,891024
PAYX,Paychex Inc.,Information Technology,Internet Software & Services,"Penfield, New York",,723531
PNR,Pentair Ltd.,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",10/1/2012,77360
PBCT,People's United Bank,Financials,Banks,"Bridgeport, Connecticut",,1378946
POM,Pepco Holdings Inc.,Utilities,Multi-Utilities & Unregulated Power,Washington D.C,,1135971
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",,77476
PKI,PerkinElmer,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",5/31/1985,31791
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",12/16/2011,1585364
PETM,"PetSmart, Inc.",Consumer Discretionary,Specialty Stores,"Phoenix, Arizona",10/10/2012,863157
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",,78003
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",,1413329
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",4/30/2012,1534701
PNW,Pinnacle West Capital,Utilities,Multi-Utilities & Unregulated Power,"Phoenix, Arizona",,764622
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",,1038357
PBI,Pitney-Bowes,Industrials,Office Services & Supplies,"Stamford, Connecticut",,78814
PCL,Plum Creek Timber Co.,Financials,REITs,"Seattle, Washington",,849213
PNC,PNC Financial Services,Financials,Banks,"Pittsburgh, Pennsylvania",4/30/1988,713676
RL,Polo Ralph Lauren Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,1037038
PPG,PPG Industries,Materials,Diversified Chemicals,"Pittsburgh, Pennsylvania",,79879
PPL,PPL Corp.,Utilities,Multi-Utilities & Unregulated Power,"Allentown, Pennsylvania",,922224
PX,Praxair Inc.,Materials,Industrial Gases,"Danbury, Connecticut",7/1/1992,884905
PCP,Precision Castparts,Industrials,Industrial Conglomerates,"Portland, Oregon",,79958
PCLN,Priceline.com Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",,1075531
PFG,Principal Financial Group,Financials,Diversified Financial Services,"Des Moines, Iowa",,1126328
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",,80424
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",,80661
PLD,Prologis,Financials,Diversified Financial Services,"San Francisco, California",,1045609
PRU,Prudential Financial,Financials,Diversified Financial Services,"Newark, New Jersey",,1137774
PEG,Public Serv. Enterprise Inc.,Utilities,Multi-Utilities & Unregulated Power,"Newark, New Jersey",,788784
PSA,Public Storage,Financials,REITs,"Glendale, California",,1393311
PHM,Pulte Homes Inc.,Consumer Discretionary,Homebuilding,"Bloomfield Hills, Michigan",4/30/1984,822416
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/2013,78239
QEP,QEP Resources,Energy,Oil & Gas Exploration & Production,"Denver, Colorado[7]",,1108827
PWR,Quanta Services Inc.,Industrials,Industrial Conglomerates,"Houston, Texas",,1050915
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",,804328
DGX,Quest Diagnostics,Health Care,Health Care Facilities,"Madison, New Jersey",,1022079
RRC,Range Resources Corp.,Energy,Oil & Gas Exploration & Production,"Fort Worth, Texas",,315852
RTN,Raytheon Co.,Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1047122
RHT,Red Hat Inc.,Information Technology,Systems Software,"Raleigh, North Carolina",,1087423
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",5/1/2013,872589
RF,Regions Financial Corp.,Financials,Diversified Financial Services,"Birmingham, Alabama",,1281761
RSG,Republic Services Inc,Industrials,Industrial Conglomerates,"Phoenix, Arizona",,1060391
RAI,Reynolds American Inc.,Consumer Staples,Tobacco,"Winston-Salem, North Carolina",,1275283
RHI,Robert Half International,Industrials,Industrial Conglomerates,"Menlo Park, California",,315213
ROK,Rockwell Automation Inc.,Industrials,Industrial Conglomerates,"Milwaukee, Wisconsin",,1024478
COL,Rockwell Collins,Industrials,Industrial Conglomerates,"Cedar Rapids, Iowa",,1137411
ROP,Roper Industries,Industrials,Industrial Conglomerates,"Sarasota, Florida",,882835
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Pleasanton, California",,745732
R,Ryder System,Industrials,Industrial Conglomerates,"Miami, Florida",12/31/1982,85961
SWY,Safeway Inc.,Consumer Staples,Food Retail,"Pleasanton, California",,86144
CRM,Salesforce.com,Information Technology,Internet Software & Services,"San Francisco, California",,1108524
SNDK,SanDisk Corporation,Information Technology,Computer Storage & Peripherals,"Milpitas, California",,1000180
SCG,SCANA Corp,Utilities,Multi-Utilities & Unregulated Power,"Cayce, South Carolina",,754737
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/31/1965,87347
SNI,Scripps Networks Interactive Inc.,Consumer Discretionary,Broadcasting & Cable TV,"Cincinnati, Ohio",,1430602
STX,Seagate Technology,Information Technology,Computer Storage & Peripherals,"Dublin, Ireland",6/29/2012,1137789
SEE,Sealed Air Corp.(New),Materials,Paper Packaging,"Elmwood Park, New Jersey",,1012100
SRE,Sempra Energy,Utilities,Multi-Utilities & Unregulated Power,"San Diego, California",,1032208
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,89800
SIAL,Sigma-Aldrich,Materials,Diversified Chemicals,"St. Louis, Missouri",9/1/1994,90185
SPG,Simon Property Group Inc,Financials,REITs,"Indianapolis, Indiana",,1063761
SJM,Smucker (J.M.),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",,91419
SNA,Snap-On Inc.,Consumer Discretionary,Household Appliances,"Kenosha, Wisconsin",9/30/1982,91440
SO,Southern Co.,Utilities,Multi-Utilities & Unregulated Power,"Atlanta, Georgia",,92122
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",7/1/1994,92380
SWN,Southwestern Energy,Energy,Oil & Gas Exploration & Production,"Houston, Texas[8]",,7332
SE,Spectra Energy Corp.,Energy,Oil & Gas Refining & Marketing & Transportation,"Houston, Texas",,1373835
STJ,St Jude Medical,Health Care,Health Care Equipment & Services,"Little Canada, Minnesota",11/30/1989,203077
SWK,Stanley Black & Decker,Consumer Discretionary,Household Appliances,"New Britain, Connecticut",9/30/1982,93556
SPLS,Staples Inc.,Consumer Discretionary,Specialty Stores,"Framingham, Massachusetts",,791519
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,829224
HOT,Starwood Hotels & Resorts,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","White Plains, New York",,316206
STT,State Street Corp.,Financials,Diversified Financial Services,"Boston, Massachusetts",,93751
SRCL,Stericycle Inc,Industrials,Industrial Conglomerates,"Lake Forest, Illinois",,861878
SYK,Stryker Corp.,Health Care,Health Care Equipment & Services,"Kalamazoo, Michigan",,310764
STI,SunTrust Banks,Financials,Banks,"Atlanta, Georgia",5/31/1988,750556
SYMC,Symantec Corp.,Information Technology,Application Software,"Mountain View, California",,849399
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",12/31/1986,96021
TROW,T. Rowe Price Group,Financials,Diversified Financial Services,"Baltimore, Maryland",,1113169
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",12/31/1976,27419
TEL,TE Connectivity Ltd.,Information Technology,Electronic Equipment & Instruments,"Schaffhausen, Switzerland",,1385157
TE,TECO Energy,Utilities,Multi-Utilities & Unregulated Power,"Tampa, Florida",,350563
THC,Tenet Healthcare Corp.,Health Care,Health Care Facilities,"Dallas, Texas",3/31/1979,70318
TDC,Teradata Corp.,Information Technology,Application Software,"Miamisburg, Ohio",,816761
TSO,Tesoro Petroleum Co.,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",,50104
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,97476
TXT,Textron Inc.,Industrials,Industrial Conglomerates,"Providence, Rhode Island",12/31/1978,217346
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",,47111
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",,86312
TMO,Thermo Fisher Scientific,Health Care,Health Care Equipment & Services,"Waltham, Massachusetts",,97745
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,98246
TWX,Time Warner Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1105705
TWC,Time Warner Cable Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1377013
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",9/30/1985,109198
TMK,Torchmark Corp.,Financials,Life & Health Insurance,"McKinney, Texas",4/30/1989,320335
TSS,Total System Services,Information Technology,Internet Software & Services,"Columbus, Georgia",,721683
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Retail,"Brentwood, Tennessee",,916365
RIG,Transocean,Energy,Oil & Gas Drilling,"Vernier, Switzerland",10/28/2013,1451505
TRIP,TripAdvisor,Consumer Discretionary,Internet Retail,"Newton, Massachusetts",,1526520
FOXA,Twenty-First Century Fox,Consumer Discretionary,Publishing,"New York, New York",7/1/2013,1308161
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,100493
TYC,Tyco International,Industrials,Industrial Conglomerates,"Schaffhausen, Switzerland",,833444
USB,U.S. Bancorp,Financials,Banks,"Minneapolis, Minnesota",,36104
UA,Under Armour,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Baltimore, Maryland",,1336917
UNP,Union Pacific,Industrials,Railroads,"Omaha, Nebraska",,100885
UNH,United Health Group Inc.,Health Care,Managed Health Care,"Minnetonka, Minnesota",7/1/1994,731766
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",,1090727
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,916076
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,"Stamford, Connecticut",9/20/2014,1215583
UTX,United Technologies,Industrials,Industrial Conglomerates,"Hartford, Connecticut",,101829
UHS,"Universal Health Services, Inc.",Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",9/20/2014,352915
UNM,Unum Group,Financials,Diversified Financial Services,"Chattanooga, Tennessee",3/1/1994,5513
URBN,Urban Outfitters,Consumer Discretionary,Apparel Retail,"Philadelphia, Pennsylvania",,912615
VFC,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Greensboro, North Carolina",6/30/1979,103379
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing & Transportation,"San Antonio, Texas",,1035002
VAR,Varian Medical Systems,Health Care,Health Care Equipment & Services,"Palo Alto, California",,203527
VTR,Ventas Inc,Financials,Diversified Financial Services,"Chicago, Illinois",,740260
VRSN,Verisign Inc.,Information Technology,Internet Software & Services,"Dulles, Virginia",,1014473
VZ,Verizon Communications,Telecommunications Services,Integrated Telecommunications Services,"New York, New York",11/30/1983,732712
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,"Cambridge, Massachusetts",9/20/2013,875320
VIAB,Viacom Inc.,Consumer Discretionary,Broadcasting & Cable TV,"New York, New York",,1339947
V,Visa Inc.,Information Technology,Internet Software & Services,"San Francisco, California",,1403161
VNO,Vornado Realty Trust,Financials,REITs,"New York, New York",,899689
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",,1396009
WMT,Wal-Mart Stores,Consumer Staples,Hypermarkets & Super Centers,"Bentonville, Arkansas",8/31/1982,104169
WAG,Walgreen Co.,Consumer Staples,Drug Retail,"Deerfield, Illinois",12/31/1979,104207
DIS,The Walt Disney Company,Consumer Discretionary,Broadcasting & Cable TV,"Burbank, California",6/30/1976,1001039
WM,Waste Management Inc.,Industrials,Environmental Services,"Houston, Texas",,823768
WAT,Waters Corporation,Health Care,Health Care Distributors & Services,"Milford, Massachusetts",,1000697
WLP,WellPoint Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",,1156039
WFC,Wells Fargo,Financials,Banks,"San Francisco, California",6/30/1976,72971
WDC,Western Digital,Information Technology,Computer Storage & Peripherals,"Irvine, California",,106040
WU,Western Union Co,Information Technology,Internet Software & Services,"Englewood, Colorado",,1365135
WY,Weyerhaeuser Corp.,Financials,REITs,"Federal Way, Washington",,106535
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,"Benton Harbor, Michigan",,106640
WFM,Whole Foods Market,Consumer Staples,Food Retail,"Austin, Texas",,865436
WMB,Williams Cos.,Energy,Oil & Gas Exploration & Production,"Tulsa, Oklahoma",3/31/1975,107263
WIN,Windstream Communications,Telecommunications Services,Integrated Telecommunications Services,"Little Rock, Arkansas",,1282266
WEC,Wisconsin Energy Corporation,Utilities,Multi-Utilities & Unregulated Power,"Milwaukee, Wisconsin",,783325
WYN,Wyndham Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Parsippany, New Jersey",,1361658
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",,1174922
XEL,Xcel Energy Inc,Utilities,Multi-Utilities & Unregulated Power,"Minneapolis, Minnesota",,72903
XRX,Xerox Corp.,Information Technology,IT Consulting & Services,"Norwalk, Connecticut",,108772
XLNX,Xilinx Inc,Information Technology,Semiconductors,"San Jose, California",,743988
XL,XL Capital,Financials,Property & Casualty Insurance,"Hamilton, Bermuda",,875159
XYL,Xylem Inc.,Industrials,Industrial Conglomerates,"White Plains, New York",,1524472
YHOO,Yahoo Inc.,Information Technology,Internet Software & Services,"Sunnyvale, California",,1011006
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,"Louisville, Kentucky",,1041061
ZMH,Zimmer Holdings,Health Care,Health Care Equipment & Services,"Warsaw, Indiana",,1136869
ZION,Zions Bancorp,Financials,Banks,"Salt Lake City, Utah",,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,"Florham Park, New Jersey",,1555280
